Date,Total runoff [m^3 s^-1]
03-Apr-21,0
05-Apr-21,0
06-Apr-21,0
07-Apr-21,0
08-Apr-21,0
09-Apr-21,0
12-Apr-21,0
15-Apr-21,0
16-Apr-21,0
17-Apr-21,0
19-Apr-21,0
20-Apr-21,0
23-Apr-21,0
24-Apr-21,0
25-Apr-21,0
28-May-21,0.009335142
30-May-21,0.00993141
03-Jun-21,0.005
04-Jun-21,0.005916823
05-Jun-21,0.011466505
06-Jun-21,0.014002367
07-Jun-21,0.02875
08-Jun-21,0.030608029
09-Jun-21,0.028034136
10-Jun-21,0.025211174
11-Jun-21,0.014466108
12-Jun-21,0.013278271
13-Jun-21,0.011345495
14-Jun-21,0.164677613
15-Jun-21,0.23360435
16-Jun-21,0.272112893
17-Jun-21,0.45551275
18-Jun-21,0.92268359
19-Jun-21,0.830177713
20-Jun-21,0.811468708
21-Jun-21,1.456409613
22-Jun-21,2.611779405
23-Jun-21,1.60706002
24-Jun-21,3.297623719
25-Jun-21,2.046719478
26-Jun-21,2.587337156
27-Jun-21,3.977583828
28-Jun-21,3.246589389
29-Jun-21,2.51492816
30-Jun-21,1.74207973
01-Jul-21,2.996514513
02-Jul-21,5.653134988
03-Jul-21,7.121004425
04-Jul-21,8.58009435
05-Jul-21,8.149951778
06-Jul-21,10.07825357
07-Jul-21,6.26574138
08-Jul-21,4.9230907
09-Jul-21,22.79719932
10-Jul-21,30.34367231
11-Jul-21,12.30242962
12-Jul-21,11.33097701
13-Jul-21,9.62611555
14-Jul-21,11.43448921
15-Jul-21,9.70991999
16-Jul-21,16.82389242
17-Jul-21,19.24926348
18-Jul-21,11.6249557
19-Jul-21,10.13445079
20-Jul-21,13.47338237
21-Jul-21,12.38282983
22-Jul-21,15.26727374
23-Jul-21,18.33736195
24-Jul-21,15.5219733
25-Jul-21,18.928374
26-Jul-21,17.142836
27-Jul-21,22.0218913
28-Jul-21,22.3009283
29-Jul-21,12.2493686
30-Jul-21,14.85433773
31-Jul-21,19.62451593
01-Aug-21,15.79485816
02-Aug-21,14.7761078
03-Aug-21,13.61806437
04-Aug-21,26.666173
05-Aug-21,40.92848175
06-Aug-21,21.45666242
07-Aug-21,20.835416
08-Aug-21,18.36342163
09-Aug-21,18.3689439
10-Aug-21,19.49893217
11-Aug-21,18.40326827
12-Aug-21,20.7480214
13-Aug-21,69.17989985
14-Aug-21,20.55343961
15-Aug-21,17.54488889
16-Aug-21,17.69553806
17-Aug-21,19.97982827
18-Aug-21,20.64035426
19-Aug-21,45.43814711
20-Aug-21,24.55955433
21-Aug-21,18.04435497
22-Aug-21,39.33509507
23-Aug-21,16.28524121
24-Aug-21,15.32589584
25-Aug-21,17.31236556
26-Aug-21,17.34115138
27-Aug-21,16.40953271
28-Aug-21,19.92450653
29-Aug-21,19.29354074
30-Aug-21,17.26203544
31-Aug-21,18.57897507
01-Sep-21,34.77776072
02-Sep-21,17.43539213
03-Sep-21,18.39975411
04-Sep-21,21.40462389
05-Sep-21,15.31160514
06-Sep-21,46.43566851
07-Sep-21,83.58456274
08-Sep-21,48.14766453
09-Sep-21,13.28457145
10-Sep-21,16.13292296
11-Sep-21,15.285925
12-Sep-21,13.17901906
13-Sep-21,14.49000668
14-Sep-21,17.67865024
15-Sep-21,16.94629844
16-Sep-21,17.760647
17-Sep-21,16.05848322
18-Sep-21,14.602006
19-Sep-21,17.86824692
20-Sep-21,17.74898241
21-Sep-21,19.69693275
22-Sep-21,18.90000022
23-Sep-21,18.22965912
24-Sep-21,16.00128371
25-Sep-21,11.15755144
26-Sep-21,9.614185111
27-Sep-21,8.568172278
28-Sep-21,8.642424256
29-Sep-21,11.58315367
30-Sep-21,10.03596075
01-Oct-21,7.402245322
02-Oct-21,6.756959
03-Oct-21,8.622561333
04-Oct-21,8.8982623
05-Oct-21,6.887215322
06-Oct-21,5.841488344
07-Oct-21,8.187078689
08-Oct-21,9.437738222
09-Oct-21,10.17280114
10-Oct-21,6.528842778
11-Oct-21,5.333423289
12-Oct-21,4.370078622
13-Oct-21,4.0751349
14-Oct-21,8.416569903
15-Oct-21,7.478746892
16-Oct-21,6.296207544
17-Oct-21,5.162471967
18-Oct-21,4.400275867
19-Oct-21,4.178191722
20-Oct-21,3.737683078
21-Oct-21,3.554321806
22-Oct-21,3.246207111
23-Oct-21,2.885618922
24-Oct-21,2.944525933
25-Oct-21,3.574562353
26-Oct-21,4.372738182
27-Oct-21,5.001296133
28-Oct-21,3.042922296
29-Oct-21,6.015270833
30-Oct-21,3.395294736
31-Oct-21,2.90357589
01-Nov-21,2.586210008
02-Nov-21,1.971294892
03-Nov-21,1.918552418
05-Nov-21,1.830330713
06-Nov-21,1.840713644
07-Nov-21,1.840760538
08-Nov-21,1.979903162
09-Nov-21,1.6310693
10-Nov-21,1.534928796
11-Nov-21,1.513822072
12-Nov-21,1.548782638
13-Nov-21,1.310367367
14-Nov-21,1.303188006
15-Nov-21,1.322858889
16-Nov-21,1.26230816
17-Nov-21,1.19929895
18-Nov-21,1.137555081
19-Nov-21,0.980986856
20-Nov-21,1.022268926
21-Nov-21,1.0110788
22-Nov-21,1.001803607
23-Nov-21,0.908443373
24-Nov-21,0.881940327
25-Nov-21,0.850575702
26-Nov-21,0.973839925
27-Nov-21,0.890228511
28-Nov-21,0.767807353
29-Nov-21,0.873976796
30-Nov-21,0.860342763
01-Dec-21,0.68835599
